label,review,repeat
0,"菜太咸了，米饭还是凉的。","您好，非常抱歉给您带来了不好的用餐体验。我们会加强对厨房的管理，严格把控菜品的咸度，同时改进米饭的保温措施。您可以联系我们，我们会为您妥善处理，再次抱歉！"
1,"味道特别好，送餐也很快，会一直回购的。","感谢您的肯定和支持！能让您满意是我们最大的荣幸，我们会继续努力保持好品质和高效率，期待您的再次光临哦！"
0,"订单里的炸鸡腿变成了炸鸡翅，而且还很油腻。","实在不好意思，这是我们打包时出现的失误，给您添麻烦了。我们会对打包人员进行培训，杜绝此类问题再次发生。关于菜品油腻的问题，我们也会反馈给厨房进行调整，您可以联系我们处理，非常抱歉！"
1,"这家店的麻辣烫太正宗了，食材也很新鲜，点赞！","谢谢您的认可！我们一直很注重食材的新鲜度和口味的正宗性，能得到您的喜欢我们很开心，欢迎常来呀！"
0,"汤洒了一半，菜都泡烂了，没法吃了。","非常抱歉出现这样的情况，这是我们包装不到位导致的。我们会更换更合适的包装，加强打包环节的检查。请您联系我们，我们会为您重新配送一份或者退款，给您带来不便了！"
1,"服务态度超好，备注的要求都满足了，食物也好吃。","感谢您的好评！满足顾客的合理要求是我们应该做的，我们会继续保持好的服务和口味，期待您再次下单！"
0,"等了快两个小时才送到，菜都凉透了。","实在抱歉让您等了这么久，还影响了菜品的口感。我们会优化出餐和配送流程，尽量缩短配送时间，同时做好保温工作。您可以联系我们，我们会给您相应的补偿，非常抱歉！"
1,"性价比很高，分量很足，两个人都没吃完。","感谢您的肯定！我们一直致力于为顾客提供高性价比的菜品，分量足也是我们的特色之一，能让您吃得饱饱的我们很开心，欢迎下次再来！"
0,"里面有根头发，太恶心了，再也不会买了。","非常抱歉让您遇到这样的情况，这是我们卫生管理上的失职。我们会加强厨房卫生的检查和员工的操作规范培训，坚决杜绝此类问题。请您联系我们，我们会给您满意的处理方案，再次向您道歉！"
1,"新推出的套餐很划算，味道也不错，推荐大家试试。","谢谢您的推荐和认可！新套餐能得到您的喜欢我们很欣慰，我们会继续推出更多优惠又美味的套餐，期待您的再次品尝！"
0,"面条坨在一起了，根本拌不开，味道也一般。","不好意思给您带来了不好的体验，面条坨了是我们打包时没有处理好。我们会改进打包方式，尽量避免这种情况。关于味道，我们也会收集反馈进行调整，您可以联系我们处理，抱歉了！"
1,"送餐员很有礼貌，餐品包装很精致，还送了小零食。","感谢您的好评！我们不仅注重餐品的品质，也很在意服务的细节，送餐员的礼貌和小零食都是我们想给您带来的小惊喜，期待您再次光临！"
0,"点的微辣结果超级辣，根本没法吃。","实在抱歉，这是我们后厨对辣度把控出现了问题，给您添麻烦了。我们会加强对厨师的培训，严格按照顾客的要求制作。您可以联系我们，我们会为您重新做一份或者退款，非常抱歉！"
1,"米饭很香，菜的味道也很家常，吃着很舒服。","谢谢您的喜欢！能让您吃到像家里一样舒服的饭菜是我们的追求，我们会继续保持这份家常味，欢迎常来呀！"
0,"价格比之前贵了很多，分量却少了，不划算。","不好意思让您觉得不划算，我们近期确实对部分菜品价格和分量做了调整，但我们保证会给到相应的品质。您的反馈我们会认真考虑，后续会优化定价和分量，感谢您的监督！"
1,"速度真快，下单到收到才 20 分钟，热乎的就是好吃。","感谢您的肯定！快速配送和保持餐品热度是我们一直在努力的，能让您吃到热乎的美食我们很开心，期待您再次下单！"
0,"汉堡里的肉是凉的，好像是剩的，口感很差。","非常抱歉，这是我们的失误，给您带来了不好的口感体验。我们会加强对食材新鲜度的把控和加热环节的检查，杜绝使用剩菜。请您联系我们，我们会给您合理的补偿，再次道歉！"
1,"每次想吃 pizza 都选这家，味道正宗，料也很足。","谢谢您的一直以来的支持！能成为您想吃 pizza 时的首选我们很荣幸，我们会一直保持好的品质，期待您的每次光临！"
0,"饮料是过期的，喝了一口就扔了，太不负责任了。","实在抱歉让您遇到了这样严重的问题，这是我们的严重失职。我们会立即对所有饮料进行检查，清理过期产品，加强进货管理。请您务必联系我们，我们会承担相应的责任并给您满意的处理，非常抱歉！"
1,"蔬菜沙拉很新鲜，酱汁也很特别，很健康的感觉。","感谢您的好评！我们的沙拉一直坚持使用新鲜蔬菜，酱汁也是精心调配的，能让您感受到健康美味我们很开心，欢迎常来！"
0,"送错餐了，我点的是炒饭结果送来的是盖浇饭。","不好意思，这是我们打包和配送环节的失误，给您带来了不便。我们会加强核对工作，避免送错餐的情况。您可以联系我们，我们会尽快把您点的炒饭送过去，或者给您退款，非常抱歉！"
1,"老板很贴心，备注说多放醋真的放了很多，味道超赞。","感谢您的认可！能满足您的小要求我们很开心，我们会一直保持这份贴心，期待您再次光临！"
0,"餐品分量少得可怜，一个人都吃不饱。","非常抱歉让您没吃饱，这是我们对分量把控不到位。我们会增加分量，确保顾客能吃饱吃好。您可以联系我们，我们会给您相应的补偿，再次抱歉！"
1,"性价比太高了，这个价格能吃到这么好的菜太值了。","谢谢您的肯定！我们一直努力在价格和品质之间找到平衡，能让您觉得值我们很欣慰，欢迎下次再来！"
0,"菜是馊的，明显是昨天的剩菜，太过分了。","实在抱歉，这是我们的严重错误，使用剩菜是绝不允许的。我们会严肃处理，加强食材管理，坚决杜绝这种情况。请您联系我们，我们会给您满意的处理，向您郑重道歉！"
1,"包装很环保，没有多余的塑料，餐品也很好吃，支持！","感谢您的支持和认可！环保包装是我们的坚持，能让您吃得满意又环保我们很开心，我们会继续努力，期待您再次下单！"
0,"筷子是断的，找了半天都没找到能用的，太影响心情了。","不好意思，这是我们打包时的疏忽，给您带来了不好的心情。我们会加强对餐具的检查，确保顾客能正常使用。您可以联系我们，我们会给您相应的补偿，非常抱歉！"
1,"味道很符合我的口味，送餐也很准时，会一直支持的。","谢谢您的支持！能符合您的口味并准时送到我们很开心，我们会继续努力，不辜负您的信任，期待您的再次光临！"
0,"点的套餐里少了一份小吃，联系商家也没人理。","非常抱歉，少送了小吃还没及时回复您，这是我们的服务不到位。我们会加强打包检查，同时提高客服的响应速度。请您再联系我们一下，我们会马上为您处理，给您添麻烦了！"
1,"刚出炉的面包就是好吃，还热乎着呢，甜度也刚好。","感谢您的好评！我们的面包都是新鲜出炉的，能让您吃到热乎又美味的面包我们很开心，欢迎常来选购！"
0,"汤里有苍蝇，太不卫生了，看着就反胃。","非常抱歉让您遇到这么恶心的情况，这是我们卫生管理的重大失误。我们会彻底清洁厨房，加强卫生检查，杜绝此类问题。请您联系我们，我们会承担责任并给您满意的处理，再次向您道歉！"
1,"这家的寿司很新鲜，种类也多，每次都能选到喜欢的。","谢谢您的喜欢！新鲜和多样是我们寿司的特色，能让您每次都有满意的选择我们很开心，期待您再次品尝！"
0,"价格涨了不少，但是味道却不如以前了。","不好意思让您觉得性价比下降了，我们会反思味道方面的问题，同时评估价格调整是否合理。您的反馈很重要，我们会努力改进，感谢您的监督！"
1,"送餐员风雨无阻，这么大的雨还准时送到，餐品也没湿，必须赞！","感谢您的理解和认可！送餐员们都很辛苦，能在恶劣天气准时把餐品完好送到您手中我们很欣慰，我们会继续做好保障工作，期待您再次下单！"
0,"点的奶茶三分糖结果甜得发腻，根本没法喝。","实在抱歉，这是我们制作奶茶时对糖分把控出现了问题，给您添麻烦了。我们会加强培训，严格按照顾客要求调整糖分。您可以联系我们，我们会为您重新做一杯或者退款，非常抱歉！"
1,"孩子很喜欢吃这家的儿童套餐，有玩具还有营养，太贴心了。","感谢您的好评！儿童套餐能得到孩子的喜欢我们很开心，我们会继续注重儿童套餐的营养和趣味性，期待您和孩子再次光临！"
0,"餐品送过来的时候都洒了，盒子都破了。","非常抱歉，这是我们包装和配送的问题，让餐品洒了还弄破了盒子。我们会更换更结实的包装，加强配送过程中的保护。请您联系我们，我们会为您重新配送或者退款，给您带来不便了！"
1,"菜品的卖相很好，看着就有食欲，味道也不错。","谢谢您的肯定！好的卖相和味道都是我们追求的，能让您有食欲我们很开心，欢迎下次再来！"
0,"等了一个多小时，结果告诉我餐品卖完了，早干嘛去了。","实在抱歉，餐品卖完没有及时告知您，让您等了这么久，这是我们的工作失误。我们会优化库存管理和信息更新，避免这种情况。您可以联系我们，我们会给您相应的补偿，非常抱歉！"
1,"这家的粥很浓稠，料也很多，早上喝一碗很舒服。","感谢您的好评！我们的粥一直用心熬制，希望能给您带来舒适的体验，能得到您的喜欢我们很开心，欢迎常来！"
